mz,rt,Tami B2 neg_R-A8_1_1620.mzXML,Tami B3 neg_R-A9_1_1621.mzXML,Tami B40 neg_R-D6_1_1809.mzXML
96.95926767,31.61646461,1029061.864,77655.1534,5286927.034
96.95831439,824.9943848,143290.7833,,
97.92972063,624.159729,121479.8285,131213.968,69656.2344
97.958141,35.72382355,,46404.47,42009.3344
98.93752135,624.236,1110552.24,594568.296,353585.785
98.96349051,35.61314392,,63067.6512,245295.4416
99.92414597,624.159729,3010304.952,4351792.261,1080935.611
