formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C4H7CaMgNO4,[M + H]+,C4H8CaMgNO4+,Amino acids and Peptides,0.883,Small peptides,0.918,Aminoacids,0.948,Organic acids and derivatives,0.989,Carboxylic acids and derivatives,0.98,"Amino acids, peptides, and analogues",0.875,Amino acids and derivatives,0.874,Alpha amino acids,0.564,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",197.991,36,0.599,738708246615966529,738707845934077354,12,
1,C10H14F3N2O3,[M + H]+,C10H15F3N2O3+,Amino acids and Peptides,0.492,Small peptides,0.595,Aminoacids,0.422,Organic acids and derivatives,0.87,Carboxylic acids and derivatives,0.815,"Amino acids, peptides, and analogues",0.764,Amino acids and derivatives,0.763,Alpha amino acids and derivatives,0.581,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Alkyl fluorides; Monocarboxylic acids and derivatives; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",268.103,38,0.633,738708233324208104,738707845976020399,13,
1,C24H28N4O7S,[M + H]+,C24H29N4O7S+,Amino acids and Peptides,0.817,Oligopeptides,0.67,Cyclic peptides,0.1,Organic acids and derivatives,0.996,Carboxylic acids and derivatives,0.992,"Amino acids, peptides, and analogues",0.977,Peptides,0.852,Oligopeptides,0.531,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenols; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Oligopeptides; Chemical entities",517.176,38,0.633,738708286948410406,738707846013769140,14,
1,C21H26N6O9S,[M + H]+,C21H27N6O9S+,Carbohydrates,0.821,Nucleosides,0.734,Purine nucleosides,0.622,Organic acids and derivatives,0.992,Carboxylic acids and derivatives,0.969,"Amino acids, peptides, and analogues",0.955,Peptides,0.659,Peptides,0.659,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Phenols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Alpha amino acids; Benzenoids; Amines; Primary amines; Tetrahydrofurans; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; 5'-deoxyribonucleosides; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",539.157,38,0.637,738708356171215496,738707846055712185,15,
1,C9H11NO,[M + H]+,C9H12NO+,Alkaloids,0.94,Tryptophan alkaloids,0.483,Pyridine alkaloids,0.341,Benzenoids,0.926,Benzene and substituted derivatives,0.693,,,,,Benzene and substituted derivatives,0.693,Organic compounds; Ketones; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,150.091,41,0.684,738708214999285105,738707846127015363,16,
1,C5H6N2O2,[M + H]+,C5H7N2O2+,Alkaloids,0.724,Nicotinic acid alkaloids,0.177,Pyridine alkaloids,0.175,Organoheterocyclic compounds,0.985,Diazines,0.486,Pyrimidines and pyrimidine derivatives,0.525,Pyrimidones,0.547,Pyrimidones,0.547,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Primary carboxylic acid amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,127.05,41,0.69,738708227557035630,738707846160569800,17,
1,C11H18N2O4,[M + H]+,C11H19N2O4+,Amino acids and Peptides,0.952,Small peptides,0.966,Aminoacids,0.538,Organic acids and derivatives,0.998,Carboxylic acids and derivatives,0.994,"Amino acids, peptides, and analogues",0.96,Amino acids and derivatives,0.96,Alpha amino acids,0.647,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",243.133,56,0.927,738708216697979346,738707846223484370,18,
1,C11H20N2O3,[M + H]+,C11H21N2O3+,Amino acids and Peptides,1,Small peptides,1,Dipeptides,0.994,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",1,Peptides,0.981,Dipeptides,0.89,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities",229.154,60,0.995,738708212512061290,738707846257038807,19,
1,C8H8,[M + H3N + H]+,C8H12N+,Alkaloids,0.461,Phenylpropanoids (C6-C3),0.182,Phenylalanine-derived alkaloids,0.214,Benzenoids,0.995,Benzene and substituted derivatives,0.906,,,,,Benzene and substituted derivatives,0.906,Organic compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbons; Unsaturated hydrocarbons; Chemical entities,122.096,62,1.025,738708212432369466,738707846319953377,20,
1,C9H11N3O4S,[M + H]+,C9H12N3O4S+,Amino acids and Peptides,0.925,β-lactams,0.866,Aminoacids,0.208,Organic acids and derivatives,0.98,Carboxylic acids and derivatives,0.957,"Amino acids, peptides, and analogues",0.661,Amino acids and derivatives,0.663,Alpha amino acids and derivatives,0.563,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",258.055,67,1.112,738708235090010956,738707846416422384,21,
